Tên nhà hàng,Tên món,Giá,Hình ảnh món ăn
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Sườn Nướng Tảng Sốt Mật Ong Vừng (1kg),350.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvwtbvp93tl5c@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Salad Caeser Với Gà Nướng,100.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3e9jxpaysf5@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Cơm Rang Dứa,115.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3ibydgnno98@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Mỳ Ý Sốt Bolognese,115.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvwu64qzf0kf3@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Cơm Sườn Nướng Sốt Mật Ong Vừng,150.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3ea4quuo4da@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Combo 1kg Sườn Nướng Tảng + Khoai Chiên,380.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvwspn7sipwa5@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Salad Xoài,100.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqx3jmy2p22s98@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Cánh Gà Chiên Mật Ong Vừng,70.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lqvwsqasu07tdc@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Cơm Rang Dưa Bò,115.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2rm7ov09tw19@resize_ss120x120!@crop_w120_h120_cT
Top Floor Rue Des Seaux Restaurant - Hàng Thùng,Cơm Bò Xào Cần Tỏi,120.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr2rm755t3no42@resize_ss120x120!@crop_w120_h120_cT
La Salsa - Món Âu - Xuân Diệu,"Chicken , Pork rib and Chorizo Paella",460.000đ,https://mms.img.susercontent.com/vn-11134517-7r98o-lr6n3i6h51okc3@resize_ss120x120!@crop_w120_h120_cT
